ue,freq,act_theta,reduction,score
1.548,0.24,0.689,0.27629578368420482,9.174035901308411
2.516,0.191,0.56,11.911195110278456,9.1861316083044056
3.164,0.24,0.456,20.23752607984504,9.17748031471295
3.892,0.093,0.409,31.846395495944208,9.1653166179973304
3.598,0.016,0.707,1.1275190015983299,8.9696910908945267
2.737,0.14,0.627,7.189065098300901,9.1260715892923905
3.892,0.24,0.473,22.451377499556557,9.0920172831508683
3.284,0.24,0.38,25.531759486534114,9.2033103881441924
2.737,0.267,0.627,7.3092881844686559,9.1270095621895866
2.737,0.267,0.595,10.155033415653335,9.1492118860881178
1.88,0.177,0.528,9.8386388445420039,9.2258787757009344
0.883,0.147,0.43,6.4650127297482527,9.2546521786114813
2.312,0.267,0.509,11.551547062742557,9.2030238970360472
2.308,0.179,0.619,6.4111085308366427,9.163288121468625
3.195,0.162,0.445,21.659286873301937,9.1846302222963949
3.892,0.24,0.458,24.376700833231894,9.1070385337516697
1.507,0.001,0.707,-0.13215728718834896,9.1733542763417883
0.883,0.147,0.499,4.6603444040318891,9.2405722707343116
1.507,0.135,0.707,0.037359523683491602,9.1746768357543385
2.012,0.224,0.393,15.669120473001854,9.2610929437650196
1.507,0.192,0.589,6.1107528381077714,9.2220610653938593
1.189,0.125,0.348,8.8071976282387396,9.2602451167156214
1.548,0.125,0.707,0.19712917397394847,9.1734182484379172
3.598,0.167,0.434,25.721670655280747,9.1615731030440593
1.507,0.19,0.589,5.8879985861988047,9.2203231508411214
3.598,0.016,0.434,24.296102156362352,9.1504509079839789
0.653,0.223,0.636,1.0738689759975699,9.2196564167957273
3.288,0.111,0.509,10.805844871092702,9.0878939758077433
0.907,0.24,0.612,2.5938715787541753,9.223590580747663
1.425,0.146,0.393,11.280439474330493,9.2672031128170893
1.425,0.224,0.545,6.999264049075947,9.23380165353805
2.737,0.241,0.651,3.7342247496347625,9.0991171438985319
3.598,0.016,0.589,13.479425699810676,9.0660598839519366
3.284,0.224,0.566,14.844927618977465,9.1199324033644853
2.427,0.267,0.636,4.737221948036705,9.1389592644592792
1.425,0.132,0.393,11.414095824471048,9.2682458911882506
3.165,0.266,0.483,17.051430190592583,9.152496016555407
3.413,0.224,0.393,25.844978884876909,9.1884758460347129
0.653,0.106,0.636,1.4260069063815166,9.2224037746061409
0.653,0.267,0.294,4.5463639396422906,9.2467486023765026
0.6,0.112,0.49,3.0989151281415133,9.2367838785046725
3.284,0.296,0.279,17.902019575256887,9.1437836410146858
3.284,0.179,0.557,15.106671608417798,9.1219745133778378
1.507,0.084,0.43,10.570259427492232,9.2568538531108135
1.507,0.147,0.43,10.919089836330613,9.2595754058477979
1.189,0.018,0.334,8.8917268105211775,9.2609046080373822
3.163,0.28,0.653,4.4034979011715336,9.0540707706008003
1.282,0.266,0.626,2.955512301923207,9.2099945787449933
3.892,0.208,0.72,0.62073653918646698,8.9216960062483306
2.306,0.182,0.731,-0.068661019105590526,9.1129179302002665
3.892,0.208,0.43,27.430320987094206,9.1308626846194922
1.815,0.241,0.687,0.37722789760535136,9.156864947263017
1.145,0.207,0.65,0.93961864783112503,9.2009166842456604
3.064,0.24,0.578,13.496211046515484,9.1373410021628843
0.641,0.24,0.43,4.7308279140553537,9.2484983386114816
1.961,0.267,0.676,1.0451485726425886,9.1510501020293731
2.012,0.102,0.393,12.409580920660545,9.2356622228037377
3.284,0.146,0.545,15.971263729850833,9.1287200063017355
1.379,0.24,0.434,10.262397929984346,9.2618400972229633
3.892,0.24,0.409,30.058094268101456,9.1513644051802405
3.892,0.145,0.326,25.599134254866414,9.1165758818157538
3.181,0.11,0.294,17.904296200108845,9.1571193030974634
1.548,0.179,0.507,7.822848721624112,9.2329136289452602
1.548,0.147,0.507,7.6787658410482607,9.2317895034445918
3.635,0.24,0.434,25.78845615154961,9.156741739252336
1.507,0.016,0.707,0.045331424097540207,9.1747390320160207
3.76,0.24,0.707,1.3947703019036908,8.9479362485981309
1.849,0.187,0.595,6.5637392018439868,9.2026401962883853
0.118,0.296,0.521,0.86759397788219417,9.2262967723364486
1.145,0.104,0.577,3.8009860315876551,9.2232408911882509
0.118,0.232,0.696,0.2151518123297933,9.2212064599198929
3.284,0.296,0.256,15.293921392821431,9.123435424325768
3.284,0.132,0.696,1.2261088809945022,9.0136792428838461
1.507,0.24,0.321,10.814191177880375,9.2587569931642193
2.306,0.241,0.636,4.365126099293164,9.1475100562349798
3.195,0.279,0.38,24.936557824816674,9.210199282510013
2.306,0.187,0.687,0.64365844383178228,9.1184754014953278
2.306,0.241,0.687,0.70457952369129373,9.1189507038985305
0.653,0.267,0.636,1.0491186937031216,9.2194633166622157
3.519,0.13,0.445,22.567979116588234,9.1482130615754329
0.368,0.251,0.43,2.8481402067144757,9.2393188684646201
3.284,0.132,0.559,14.401793658255912,9.1164751002937248
1.664,0.223,0.504,8.6796802489140106,9.2321467342056067
0.347,0.164,0.569,1.6540496333445986,9.230302949506008
0.421,0.135,0.707,-0.014477765176138746,9.2161485645126842
3.312,0.224,0.318,21.804418173864363,9.1705361475033378
3.686,0.018,0.47,19.132909919465888,9.0973481694526033
3.284,0.185,0.393,24.920582451258568,9.1985420236582112
1.88,0.232,0.38,15.058895359813533,9.2666068861148201
3.635,0.24,0.43,25.392454920456132,9.1536521627503333
2.312,0.267,0.687,0.76451402846724648,9.1188641491054732
3.892,0.24,0.707,1.5004749804921431,8.928559669799732
2.737,0.196,0.636,5.5382164435117573,9.1131917727369824
2.045,0.216,0.571,9.2882346085268637,9.2086320567423225
3.29,0.24,0.434,23.509491306814155,9.1867438999999997
1.548,0.135,0.539,7.7936820219016028,9.232686072202938
1.849,0.241,0.595,6.5381527983641377,9.2024405727903869
2.012,0.224,0.463,12.210392930890052,9.2341081707343129
3.284,0.232,0.256,15.370865966844292,9.1240357410146871
0.164,0.17,0.489,1.1821410223553386,9.2284914084379182
1.507,0.147,0.434,11.133630044665992,9.2612492349532705
1.548,0.101,0.689,0.23405557798484722,9.173706345901202
3.76,0.24,0.43,25.920837887478598,9.1392870731642191
2.306,0.267,0.624,6.0317983560728266,9.1605133275300403
0.646,0.263,0.269,3.8068765275853877,9.2411610284646191
2.18,0.19,0.507,10.840553825590504,9.209335652870493
1.424,0.179,0.566,6.781437538807495,9.2321591649132184
3.519,0.13,0.659,4.1236826565049398,9.0043118297997324
3.284,0.14,0.393,25.327960235376977,9.2017203593057406
0.368,0.135,0.707,-0.0026627191250838678,9.2170770847530044
2.737,0.267,0.35,19.910944777032981,9.2253268880907875
2.29,0.132,0.545,10.826309476152574,9.1993905193591452
3.284,0.266,0.393,25.398159744843895,9.2022680514285717
3.598,0.167,0.707,1.2649847513468302,8.9707635899599474
3.284,0.232,0.393,25.11011526062309,9.2000207466221635
3.165,0.232,0.483,17.077418945306817,9.1526987791722298
3.284,0.198,0.393,25.501934345656252,9.2030776942857138
1.548,0.168,0.462,9.6608821500845039,9.2472538492389855
3.284,0.224,0.279,17.761544952896998,9.1426876669158883
1.379,0.24,0.43,10.059575225932576,9.2602576873431239
3.598,0.24,0.62,10.730195891317592,9.0446105672630175
3.598,0.187,0.589,14.716959288660547,9.0757150425634183
3.892,0.24,0.434,28.131694963168343,9.1363347599198939
3.284,0.132,0.545,15.355358519968448,9.1239147528971962
1.206,0.159,0.626,2.8609698582727958,9.2130387245927903
1.961,0.179,0.676,1.1160826571812095,9.1516035252603469
0.459,0.081,0.749,-0.10110632009525489,9.2148038940186918
3.598,0.19,0.434,25.824916014998124,9.1623786167957277
2.012,0.191,0.393,15.675836086789118,9.2611453385580766
2.312,0.14,0.687,0.63784324323350461,9.1178758716688915
0.118,0.224,0.545,0.82516074215882895,9.2259657109212281
3.892,0.178,0.43,26.767470670029056,9.1256911684646198
1.548,0.167,0.507,7.7371697443672645,9.2322451669959946
3.284,0.147,0.696,1.343404071330383,9.0145943725233639
0.883,0.135,0.43,6.3850319029687626,9.2540281732710277
2.312,0.241,0.636,4.3207460154547306,9.1466096456341788
1.548,0.135,0.707,0.10388146894179329,9.1726907357543386
3.519,0.224,0.545,16.74453507531112,9.1027789203204268
0.118,0.179,0.696,0.21479261904939051,9.2212036575166891
2.617,0.173,0.294,16.270394674457691,9.2097731469692921
1.445,0.187,0.681,0.52243575989892577,9.1821218497997332
3.284,0.194,0.545,15.778423638516969,9.1272154801335112
2.312,0.182,0.509,11.448867582177058,9.202222798237651
3.892,0.208,0.409,29.650423465091123,9.1481837834178901
1.619,0.102,0.667,0.19026770957550809,9.1688675757276368
3.284,0.153,0.393,25.066637061656465,9.1996815324699597
0.118,0.224,0.696,0.26743026377970125,9.221614333084112
3.181,0.11,0.636,8.3219174955041666,9.0823581918825091
1.961,0.084,0.676,1.0087716539215705,9.1507662916154864
